ÝLÇE ADI;MAHALLE ADI;DOÐRUDAN SATIN ALINABÝLECEK ÜRÜNLER
Karatay;YENÝCE;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;YENÝKENT;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, AYÇÝÇEÐÝ
Karatay;ZÝNCÝRLÝ;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, AYÇÝÇEÐÝ
Kulu;ACIKUYU;BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;AÐILBAÞI;NOHUT, BUÐDAY, ARPA, KANOLA
Kulu;ALTILAR;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;ARÞINCA;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;BEÞKARDEÞ;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;BOÐAZÖREN;BUÐDAY, YULAF, ARPA, KÝMYON
Kulu;BOZAN;BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;BURUNAÐIL;NOHUT, BUÐDAY, ARPA, KÝMYON, FASULYE
Kulu;CANIMANA;BUÐDAY, YULAF, ARPA, KÝMYON
Kulu;CELEP;ÞEKER PANCARI, BUÐDAY, ARPA, KÝMYON
Kulu;DÝPDEDE;BUÐDAY, ARPA
Kulu;DOÐUTEPE;NOHUT, BUÐDAY, ASPÝR, YULAF, ARPA, KÝMYON
Kulu;FEVZÝYE;ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, KÝMYON
Kulu;GÖKLER;BUÐDAY, ARPA
Kulu;GÜZELYAYLA;ÞEKER PANCARI, BUÐDAY, ARPA, KÝMYON, FASULYE
Kulu;HÝSAR;BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;KARACADAÐ;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;KARACADERE;BUÐDAY, YULAF, ARPA, KÝMYON
Kulu;KIRKKUYU;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;KIRKPINAR;BUÐDAY, YULAF, ARPA, KÝMYON
Kulu;KOZANLI;ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, MERCÝMEK, KÝMYON
Kulu;KÖMÜÞÝNÝ;BUÐDAY, ARPA, KÝMYON
Kulu;KÖÞKER;MISIR, NOHUT, BUÐDAY, YULAF
Kulu;SARIYAYLA;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON, FASULYE
Kulu;SEYÝTAHMETLÝ;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;SOÐUKKUYU;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;ÞEREFLÝ;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;TAVLIÖREN;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;ÖMERANLI;BUÐDAY, ARPA, KÝMYON
Kulu;TUZYAKA;ÞEKER PANCARI, BUÐDAY, YULAF, ARPA, MERCÝMEK
Kulu;YARAÞLI;NOHUT, BUÐDAY, YULAF, ARPA, KÝMYON
Kulu;YAZIÇAYIR;NOHUT, BUÐDAY, ASPÝR, ARPA, KÝMYON
Kulu;YEÞÝLTEPE;BUÐDAY, ARPA, KÝMYON, ÇÖREK OTU
Kulu;YEÞÝLYURT;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;ZÝNCÝRLÝKUYU;ÞEKER PANCARI, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kulu;BAHADIRLI;ÞEKER PANCARI, BUÐDAY
Kulu;DEÐÝRMENÖZÜ;MISIR, BUÐDAY, YONCA, ARPA, KÝMYON
Meram;ERENKAYA;NOHUT, BUÐDAY, ARPA
Meram;YATAÐAN;PATATES, NOHUT, BUÐDAY, ARPA
Meram;GÖKYURT;PATATES, BUÐDAY, ARPA, SOÐAN
Meram;BAYAT;NOHUT, BUÐDAY, ARPA
Meram;BORUKTOLU;PATATES, BUÐDAY, DOMATES, BÝBER
Meram;BOTSA;MISIR, PATATES, BUÐDAY, DOMATES, ARPA, SOÐAN
Meram;ÇAYIRBAÐI;BUÐDAY, ELMA, ÜZÜM, DOMATES, KÝRAZ, CEVÝZ, VÝÞNE, ERÝK
Meram;ÇOMAKLAR;PATATES, NOHUT, ELMA, KÝRAZ, FASULYE
Meram;ÇUKURÇÝMEN;PATATES, DOMATES, KÝRAZ, BÝBER, PATLICAN
Meram;EVLÝYATEKKE;PATATES, ELMA, DOMATES, ÇÝLEK
Meram;HATUNSARAY;MISIR, PATATES, BUÐDAY, ARPA, KÝRAZ, FASULYE, ÇEREZLÝK KABAK
Meram;ÝKÝPINAR;PATATES, BUÐDAY, ELMA, ARPA, ÇÝLEK, FASULYE
Meram;ÝLYASBABA;BUÐDAY, ELMA, DOMATES, ARPA, CEVÝZ
Meram;ÝNLÝCE;PATATES, ELMA, DOMATES, FASULYE
Meram;KARAAÐAÇ;NOHUT, BUÐDAY, ARPA, MERCÝMEK, ÇEREZLÝK KABAK
Meram;KAVAK;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, YULAF, FASULYE, SUSAM
Meram;KAYADÝBÝ;ÞEKER PANCARI, NOHUT, FASULYE
Meram;KAYALI;NOHUT, BUÐDAY, ELMA, ARPA, KÝRAZ
Meram;KAYHÜYÜK;NOHUT, BUÐDAY, DOMATES, ARPA
Meram;KIZILÖREN;PATATES, BUÐDAY, DOMATES, ÇÝLEK, BÝBER
Meram;KUMRALI;PATATES, BUÐDAY, YULAF, DOMATES, ARPA, BÝBER, ÇAVDAR
Meram;SADIKLAR;NOHUT, BUÐDAY, ELMA, DOMATES, ARPA, KÝRAZ, ÇÝLEK, FASULYE
Meram;SAÐLIK;PATATES, BUÐDAY, DOMATES, ÇÝLEK
Meram;SARIKIZ;NOHUT, DOMATES, BÝBER, SOÐAN, SUSAM
Meram;SEFAKÖY;BUÐDAY, ARPA
Meram;YEÞÝLDERE;PATATES, BUÐDAY, DOMATES, BÝBER, FASULYE
Meram;YEÞÝLTEKKE;PATATES, KÝRAZ, SOÐAN, SARIMSAK
Meram;KAÞINHANI;ÞEKER PANCARI, ARPA, HAVUÇ, TURP
Sarayönü;LADÝK;MISIR, BUÐDAY, YULAF, ARPA
Sarayönü;BAHÇESARAY;BUÐDAY, ARPA
Sarayönü;BAÞHÜYÜK;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Sarayönü;BOYALI;BUÐDAY, ARPA, KÝMYON
Sarayönü;BÜYÜKZENGÝ;DOMATES, ÞEFTALÝ, BÝBER, FASULYE
Sarayönü;ÇEÞMELÝSEBÝL;PATATES, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, MERCÝMEK, ÇÖREK OTU
Sarayönü;DEÐÝRMENLÝ;ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, FASULYE
Sarayönü;ERTUÐRUL;MISIR, BUÐDAY, ELMA, ARPA, BÝBER, FASULYE
Sarayönü;GÖZLÜ;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, YONCA, ARPA
Sarayönü;KADIOÐLU;BUÐDAY, ARPA
Sarayönü;KARABIYIK;BUÐDAY, ARPA, KÝMYON
Sarayönü;KARATEPE;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA
Sarayönü;KAYIÖREN;MISIR, NOHUT, BUÐDAY, ARPA, MERCÝMEK, FASULYE
Sarayönü;KONAR;BUÐDAY, ARPA
Sarayönü;KURÞUNLU;BUÐDAY, YULAF, ARPA
Sarayönü;KUYULUSEBÝL;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE
Sarayönü;ÖZKENT;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Sarayönü;YENÝCEKAYA;BUÐDAY, ARPA, FASULYE, ÇEREZLÝK KABAK
Selçuklu;BAÞARAKAVAK;BUÐDAY, ELMA, DOMATES, CEVÝZ, FASULYE
Selçuklu;hasan;ASPÝR
Selçuklu;SARAYKÖY;DOMATES, BÝBER
Selçuklu;SULUTAS;PATATES, BUÐDAY, DOMATES, ARPA, BÝBER
Selçuklu;TATKÖY;BUÐDAY, ARPA
Selçuklu;AKPINAR;BUÐDAY, ARPA
Selçuklu;BAÐRIKURT;BUÐDAY, YULAF, ARPA
Selçuklu;BÝÇER;NOHUT, BUÐDAY, DOMATES, SALATALIK, ARPA
Selçuklu;ÇALDERE;MISIR, BUÐDAY, ARPA, FASULYE
Selçuklu;ÇALTI;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Selçuklu;ÇANDIR;BUÐDAY, ARPA
Selçuklu;DAÐDERE;BUÐDAY, ELMA, FÝÐ, ARPA
Selçuklu;EÐRÝBAYAT;ÞEKER PANCARI, YONCA, AYÇÝÇEÐÝ
Selçuklu;GÜVENÇ;MISIR, ÞEKER PANCARI, AYÇÝÇEÐÝ
Selçuklu;KALE;ÞEKER PANCARI, BUÐDAY, ARPA
Selçuklu;KARAÖMERLER;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Selçuklu;KERVAN;NOHUT, BUÐDAY, DOMATES, ARPA, BÝBER, FASULYE
Selçuklu;KINIK;BUÐDAY, YULAF, ARPA
Selçuklu;KIZILCAKUYU;BUÐDAY, ARPA
Selçuklu;MEYDAN;BUÐDAY, ELMA, YULAF, ARPA
Selçuklu;SELAHATTÝN;PATATES, NOHUT, BUÐDAY, BÝBER
Selçuklu;SIZMA;PATATES, BUÐDAY, ARPA
Selçuklu;TEPEKENT;PATATES, BUÐDAY, DOMATES, ÇÝLEK, FASULYE
Selçuklu;ULUMUHSÝNE;BUÐDAY, ARPA
Selçuklu;YAZIBELEN;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Selçuklu;SÝLLE;ÜZÜM
Selçuklu;ARDIÇLI;BUÐDAY, YULAF, ARPA, ÇAVDAR
Selçuklu;AÞAÐIPINARBAÞI;MISIR, ÞEKER PANCARI, BUÐDAY, ELMA, ARPA, AYÇÝÇEÐÝ, KAYISI
Selçuklu;YUKARIPINARBAÞI;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, KANOLA
Selçuklu;KÜÇÜKMUHSÝNE;PATATES, BUÐDAY, ELMA, DOMATES, ARPA, SOÐAN
Selçuklu;SARICALAR;ÞEKER PANCARI, BUÐDAY, ELMA, ARPA, AYÇÝÇEÐÝ, KÝRAZ, FASULYE
Selçuklu;TÖMEK;BUÐDAY, ARPA
Selçuklu;YÜKSELEN;NOHUT, BUÐDAY, ARPA, MERCÝMEK
Selçuklu;Mehmet Fatih;PATATES
Seydiþehir;KESECÝK;ÞEKER PANCARI, PATATES, BUÐDAY, DOMATES, ÇEREZLÝK KABAK
Seydiþehir;AKÇALAR;ÞEKER PANCARI, PATATES, KABAK
Seydiþehir;AÞAÐIKARAÖREN;MISIR, ÞEKER PANCARI, ARPA, AYÇÝÇEÐÝ, KABAK, SUSAM
Seydiþehir;BAÞKARAÖREN;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ, ÇEREZLÝK KABAK
Seydiþehir;BOSTANDERE;ÞEKER PANCARI, ÜZÜM, DOMATES, CEVÝZ, KAVUN, BÝBER, KARPUZ, PATLICAN
Seydiþehir;BOYALI;BUÐDAY, ARPA
Seydiþehir;BÜKÇE;BUÐDAY, ARPA
Seydiþehir;ÇAT;PATATES, DOMATES, BÝBER, FASULYE
Seydiþehir;ÇATMAKAYA;ÞEKER PANCARI, PATATES, BUÐDAY, DOMATES, ARPA, BÝBER, FASULYE
Seydiþehir;ÇAVUÞ;PATATES, ELMA, DOMATES, ÇÝLEK, BÝBER
Seydiþehir;DÝKÝLÝTAÞ;PATATES, BUÐDAY, DOMATES, ARPA, KÝRAZ, ÇÝLEK
Seydiþehir;GEVREKLÝ;ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, FASULYE
Seydiþehir;GÖKÇEHÜYÜK;ÞEKER PANCARI, BUÐDAY, ÜZÜM, ÇÝLEK, ÇEREZLÝK KABAK
Seydiþehir;GÖKHÜYÜK;ÞEKER PANCARI, PATATES, BUÐDAY, ELMA, KAVUN, KARPUZ, ÇEREZLÝK KABAK
Seydiþehir;GÖLYÜZÜ;ÞEKER PANCARI, NOHUT, DOMATES, FASULYE
Seydiþehir;IRMAKLI;ÞEKER PANCARI, BUÐDAY, ARPA
Seydiþehir;ÝNCESU;ÞEKER PANCARI, BUÐDAY, ARPA
Seydiþehir;KARABULAK;ÞEKER PANCARI, BUÐDAY, DOMATES, SOÐAN, ÇEREZLÝK KABAK
Seydiþehir;KARACAÖREN;PATATES, FASULYE
Seydiþehir;KAVAK;PATATES, NOHUT, BUÐDAY, DOMATES, SOÐAN
Seydiþehir;KETENLÝ;KÝRAZ, ÇÝLEK, VÝÞNE
Seydiþehir;KIZILCA;NOHUT, FASULYE
Seydiþehir;KOZLU;PATATES, DOMATES, FASULYE
Seydiþehir;KUMLUCA;KÝRAZ, CEVÝZ, VÝÞNE
Seydiþehir;KURAN;ÞEKER PANCARI, DOMATES, KÝRAZ, KAVUN, KARPUZ
Seydiþehir;MADENLÝ;BUÐDAY, ARPA
Seydiþehir;MESUDÝYE;DOMATES, SALATALIK, ÇÝLEK
Seydiþehir;MURADÝYE;ÞEKER PANCARI, BUÐDAY, ARPA
Seydiþehir;OÐLAKÇI;DOMATES, BÝBER, FASULYE
Seydiþehir;ORTAKARAÖREN;DOMATES, BÝBER, ÇEREZLÝK KABAK
Seydiþehir;SARAYCIK;ELMA, DOMATES, SALATALIK, KÝRAZ, BÝBER
Seydiþehir;SUSUZ;ÞEKER PANCARI, BUÐDAY, ÞEFTALÝ, ARPA
Seydiþehir;TARAÞÇI;DOMATES, SALATALIK
Seydiþehir;TAÞAÐIL;BUÐDAY, ARPA
Seydiþehir;TEPECÝK;NOHUT, BUÐDAY, ARPA, CEVÝZ
Seydiþehir;TOL;DOMATES, BÝBER, PATLICAN
Seydiþehir;UFACIK;BUÐDAY, ARPA
Seydiþehir;YAYLACIK;PATATES, DOMATES, ÇÝLEK
Seydiþehir;YENÝCE;PATATES, BUÐDAY, DOMATES
Taþkent;AFÞAR;ELMA, KÝRAZ
Taþkent;BALCILAR;NOHUT, ELMA, ÜZÜM, ARMUT, KÝRAZ
Taþkent;BOLAY;ELMA, ÜZÜM, KÝRAZ, CEVÝZ
Taþkent;ÇETMÝ;KÝRAZ
Taþkent;KECÝMEN;ÜZÜM, ÇÝLEK
Taþkent;KONGUL;KÝRAZ, FASULYE
Taþkent;SAZAK;KÝRAZ, VÝÞNE
Taþkent;ILICAPINAR;ELMA, ÜZÜM, DOMATES, KÝRAZ
Tuzlukçu;KONARI;BUÐDAY, DOMATES, ARPA, HAVUÇ
Tuzlukçu;MEVLÜTLÜ;BUÐDAY, ARPA
Tuzlukçu;KORAÞI;BUÐDAY, ARPA
Tuzlukçu;ÇÖÐÜRLÜ;ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Tuzlukçu;TURSUNLU;BUÐDAY, HAÞHAÞ, ARPA
Tuzlukçu;KUNDULLU;NOHUT, MERCÝMEK
Tuzlukçu;PAZARKAYA;BUÐDAY, ARPA, KARPUZ
Tuzlukçu;SUBATAN;ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Tuzlukçu;GÜRSU;ÞEKER PANCARI, BUÐDAY, ARPA
Tuzlukçu;ERDOÐDU;MISIR, ÞEKER PANCARI, HAÞHAÞ, AYÇÝÇEÐÝ
Tuzlukçu;KÖKLÜCE;BUÐDAY, ARPA
Yalýhüyük;SARAY;BUÐDAY, ELMA
Yalýhüyük;ARASÖÐÜT;BUÐDAY, ARPA
Yunak;KUZÖREN;ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KAVUN, SOÐAN, KARPUZ
Yunak;KOÇYAZI;BUÐDAY, YULAF, ARPA, MERCÝMEK, KÝMYON, ÇÖREK OTU, ANASON
Yunak;TURGUT;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ, FASULYE
Yunak;PÝRÝBEYLÝ;BUÐDAY, ARPA
Yunak;SÜLÜKLÜ;BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Yunak;ALTINÖZ;MISIR, ÞEKER PANCARI, PATATES, AYÇÝÇEÐÝ
Yunak;AYRITEPE;BUÐDAY, ARPA, ANASON
Yunak;BEÞIÞIKLI;BUÐDAY, ARPA, KÝMYON, ANASON
Yunak;CEBRAÝL;BUÐDAY, ARPA, ANASON
Yunak;ÇAYIRBAÞI;MISIR, BUÐDAY, ARPA, MERCÝMEK, KÝMYON, ANASON
Yunak;EÐRÝKUYU;MISIR, BUÐDAY, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ
Yunak;HACIÖMEROÐLU;BUÐDAY, ARPA, SOÐAN
Yunak;HATIRLI;NOHUT, BUÐDAY, YULAF, ARPA, MERCÝMEK, FASULYE
Yunak;HACIFAKILI;MISIR, ÞEKER PANCARI, BUÐDAY
Yunak;HARUNLAR;BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Yunak;HURSUNLU;ÞEKER PANCARI, BUÐDAY, ARPA, FASULYE
Yunak;ÝMAMOÐLU;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE
Yunak;KARGALI;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Yunak;KARAYAYLA;PATATES, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KÝMYON, FASULYE
Yunak;KILLAR;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Yunak;KURTUÞAÐI;NOHUT, BUÐDAY, ASPÝR, ARPA, MERCÝMEK, ANASON
Yunak;KUYUBAÞI;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KÝMYON
Yunak;MEÞELÝK;NOHUT, BUÐDAY, ARPA, KÝMYON, ANASON
Yunak;ODABAÞI;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, AYÇÝÇEÐÝ, FASULYE
Yunak;ORTAKIÞLA;BUÐDAY, ARPA, KÝMYON, SOÐAN
Yunak;ÖZYAYLA;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, MERCÝMEK, KÝMYON
Yunak;SERTLER;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, KÝMYON
Yunak;SEVÝNÇ;BUÐDAY, ARPA, KÝRAZ, MERCÝMEK, KÝMYON, VÝÞNE
Yunak;SIRAM;BUÐDAY, ARPA, ANASON
Yunak;SÝNANLI;NOHUT, BUÐDAY, ARPA, MERCÝMEK, FASULYE
Yunak;YAVAÞLI;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Yunak;YEÞÝLOBA;MISIR, BUÐDAY, DOMATES, ARPA, FASULYE
Yunak;YEÞÝLYAYLA;BUÐDAY, ARPA, FASULYE
Yunak;YIÐAR;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Yunak;SARAY;MISIR, ÞEKER PANCARI, PATATES, KAVUN, SOÐAN, KARPUZ
;;
