,İLÇE ADI,MAHALLE ADI,"ARICILIK
","BESLENEN HAYVAN TÜRLERİ
","SULAMA SUYU KAYNAĞI YÖNETİMİ
","HAYVAN BESLEMEDE KULLANILAN ÜRÜNLER
","SULANABİLİR ALANDA YETİŞTİRİLEN ÜRÜNLER
","TARIMSAL SULAMA SUYU KAYNAĞI
","İYİ TARIM UYGULAMALARI
","TARIMSAL SULAMA SUYU
","DOĞRUDAN SATIN ALINABİLECEK ÜRÜNLER
","SULAK ALAN MİKTARI
","MEŞHUR ÜRÜNLER
","EN ÇOK YETİŞTİRİLEN ÜRÜNLER
","TRAKTÖR SAYISI
","BİREYSEL ARAZİ ORTALAMASI
","ALTERNATİF YENİ ÜRÜN ÇEŞİTLERİ ÜRETİMİ
","ENDEMİK (SADECE BU BÖLGEDE YETİŞEN) BİTKİLER
","TALEP EDİLEN TARIMSAL EĞİTİMLER
","TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
"
","70%
","YAĞ, TARHANA, YOĞURT, PEYNİR
","BUĞDAY, HAŞHAŞ, ARPA, AYÇİÇEĞİ, FASULYE
","5 Adet
","40 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
","HAŞHAŞ
"

221,Ilgın,SADIKKÖY,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","ARPA, SİLAJLIK MISIR, HAZIR YEM
","ARPA, ŞEKER PANCARI, MISIR, HAŞHAŞ
","GÖL
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, HAŞHAŞ, ARPA
","70%
","SÜT
","MISIR, HAŞHAŞ, ŞEKER PANCARI
","100 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","HAŞHAŞ
"

222,Ilgın,TEKELER,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","KÜSPE, SAMAN, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, YULAF, ARPA, ÇAVDAR
","0%
","SÜT, YOĞURT, YUMURTA
","BUĞDAY, YULAF, ÇAVDAR, ARPA
","50 Adet
","20 Dekar
","BADEM
","YOK
","HAYVANCILIK
","YOK
"

223,Ilgın,YUKARIÇİĞİL,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, YONCA
","GÖLET
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, HAŞHAŞ, ÇİLEK
","40%
","SÜT, YOĞURT
","MISIR, BUĞDAY, HAŞHAŞ, ÇİLEK, ŞEKER PANCARI
","500 Adet
","80 Dekar
","PATATES, FASULYE
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, ARI YETİŞTİRİCİLİĞİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
","YOK
"

224,Ilgın,YORAZLAR,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, KEPEK, ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, YONCA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, ARPA
","40%
","YAĞ, YOĞURT, PEYNİR, YUMURTA
","MISIR, BUĞDAY, ARPA, ŞEKER PANCARI
","60 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK
","KEKİK, ADA ÇAYI
"

225,Ilgın,ZAFERİYE,"HAYIR
","BÜYÜKBAŞ
","SULAMA BİRLİĞİ
","SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, YONCA, HAŞHAŞ
","BARAJ, GÖL
","HAYIR
","VAR
","MISIR, BUĞDAY, YONCA, HAŞHAŞ, ARPA
","25%
","SÜT
","MISIR, YONCA, HAŞHAŞ, ARPA
","50 Adet
","180 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
","HAŞHAŞ
"

226,Ilgın,AVDAN,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YULAF, FİĞ, KÜSPE, ARPA, SAMAN, YONCA, HAZIR YEM
","YONCA, BİBER
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ASPİR, YULAF, ARPA
","10%
","SÜT, YAĞ, YOĞURT
","BUĞDAY, ASPİR, ARPA
","130 Adet
","120 Dekar
","KİRAZ, AHUDUDU, ASPİR, BÖĞÜRTLEN
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ANASON, KİMYON
"

227,Kadınhanı,OSMANCIK,"EVET
","BÜYÜKBAŞ
","SULAMA KOOPERATİFİ
","FİĞ, YONCA
","MISIR, YONCA
","GÖLET
","HAYIR
","VAR
","MISIR, BUĞDAY, YONCA, FİĞ, ARPA
","70%
","CANLI HAYVAN
","BUĞDAY, YONCA, ARPA
","150 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

228,Kadınhanı,ALABAĞ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM
","YONCA, DOMATES, BİBER, PATLICAN
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, ARPA
","20%
","YAĞ, YOĞURT
","BUĞDAY, ARPA
","60 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ÇÖREKOTU, KİMYON
"

229,Kadınhanı,ATLANTI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","FİĞ, KÜSPE, SİLAJLIK MISIR
","MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ARPA, AYÇİÇEĞİ
","40%
","SÜT, YOĞURT, CANLI HAYVAN
","BUĞDAY, ARPA, AYÇİÇEĞİ
","300 Adet
","100 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

230,Kadınhanı,BAŞKUYU,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","KÜSPE, ARPA, SAMAN
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, BUĞDAY, ARPA
","40%
","SÜT, YOĞURT, PEYNİR
","MISIR, BUĞDAY, PATATES
","250 Adet
","150 Dekar
","YOK
","YOK
","MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","KİMYON
"

231,Kadınhanı,BEYKAVAĞI,"EVET
","KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","FİĞ, ARPA, YONCA, HAZIR YEM
","KİRAZ, VİŞNE, ÇİLEK, FASULYE
","GÖLET
","HAYIR
","VAR
","KİRAZ, ÇİLEK, VİŞNE
","50%
","SÜT, YAĞ, YOĞURT
","BUĞDAY, ARPA, VİŞNE, FASULYE
","30 Adet
","25 Dekar
","YOK
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

232,Kadınhanı,BULGURPINAR,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN, HAZIR YEM
","BUĞDAY, ARPA
","KANAL
","HAYIR
","VAR
","BUĞDAY, ARPA
","10%
","YAĞ, BAL, YOĞURT, YUMURTA
","BUĞDAY, ARPA
","18 Adet
","30 Dekar
","YOK
","YOK
","YOK
","YOK
"

233,Kadınhanı,ÇEŞMECİK,"HAYIR
","BÜYÜKBAŞ
","YOK
","BUĞDAY, ARPA, SAMAN
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","CANLI HAYVAN
","BUĞDAY, ARPA
","100 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

234,Kadınhanı,ÇUBUK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","YOK
","ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT, YAĞ, YOĞURT, YUMURTA
","BUĞDAY, ARPA
","20 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

235,Kadınhanı,KARASEVİNÇ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","ARPA, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT
","BUĞDAY, ARPA, NOHUT
","60 Adet
","120 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ÇÖREKOTU
"

236,Kadınhanı,KIZILKUYU,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, HAZIR YEM
","BUĞDAY, ARPA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, YULAF, ARPA
","5%
","SÜT, PEYNİR
","BUĞDAY, ARPA
","30 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
","YOK
"

237,Kadınhanı,MEYDANLI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","FİĞ, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, YONCA
","YERALTI SULARI
","HAYIR
","VAR
","ŞEKER PANCARI, NOHUT, BUĞDAY, ARPA
","10%
","SÜT
","BUĞDAY, ARPA
","150 Adet
","100 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
","ÇÖREKOTU
"

238,Kadınhanı,PUSAT,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","YOK
","ARPA, SAMAN, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","GÖL
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, NOHUT, BUĞDAY, ARPA, KİMYON
","25%
","SÜT, CANLI HAYVAN, YUMURTA
","MISIR, BUĞDAY, ARPA, ŞEKER PANCARI, NOHUT
","80 Adet
","300 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
","REZENE
"

239,Kadınhanı,SAÇIKARA,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","BUĞDAY, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, BİBER, SOĞAN
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, PATATES, NOHUT, ARPA, AYÇİÇEĞİ, BİBER, SOĞAN
","10%
","CANLI HAYVAN
","MISIR, BUĞDAY, ARPA, AYÇİÇEĞİ
","250 Adet
","220 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

240,Kadınhanı,ŞAHÖREN,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","FİĞ, ARPA, YONCA
","MISIR, YONCA, FASULYE
","GÖLET
","HAYIR
","VAR
","PATATES, BUĞDAY, ARPA
","10%
","SÜT, YAĞ, YOĞURT, PEYNİR
","BUĞDAY, ARPA
","40 Adet
","40 Dekar
","YOK
","YOK
","HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

241,Kadınhanı,TOSUNOĞLU,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, ARPA, SİLAJLIK MISIR, HAZIR YEM
","BUĞDAY, ŞEKER PANCARI
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, ARPA
","10%
","SÜT, YAĞ, BAL, CANLI HAYVAN
","BUĞDAY, ARPA, ŞEKER PANCARI
","30 Adet
","50 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

242,Karapınar,KESMEZ,"HAYIR
","BÜYÜKBAŞ
","SULAMA KOOPERATİFİ
","KÜSPE, SİLAJLIK MISIR, HAZIR YEM
","KAVUN, KARPUZ
","YERALTI SULARI
","HAYIR
","VAR
","BUĞDAY, ARPA, KAVUN, KARPUZ, HIRTLAK
","80%
","SÜT, YAĞ, YOĞURT
","KAVUN, HIRTLAK
","30 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

243,Karapınar,AKÇAYAZI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, HAZIR YEM
","YOK
","YERALTI SULARI
","HAYIR
","VAR
","BUĞDAY, ARPA
","10%
","YOĞURT
","BUĞDAY, ARPA
","20 Adet
","500 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
","YOK
"

244,Karapınar,ÇİĞİL,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, YONCA, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES
","YERALTI SULARI
","EVET
","VAR
","MISIR, ŞEKER PANCARI, PATATES, BUĞDAY, AYÇİÇEĞİ
","70%
","CANLI HAYVAN
","MISIR, BUĞDAY, ARPA
","30 Adet
","120 Dekar
","KANOLA
","YOK
","TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
","YOK
"

245,Karapınar,HASANOBA,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","ARPA, SAMAN, YONCA, HAZIR YEM
","BUĞDAY, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","80%
","SÜT, CANLI HAYVAN
","MISIR, BUĞDAY, ARPA, AYÇİÇEĞİ, ŞEKER PANCARI
","100 Adet
","150 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
","YOK
"

246,Karapınar,YEŞİLYURT,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, YONCA, HAZIR YEM
","ARPA, ŞEKER PANCARI, MISIR, YONCA, SARIMSAK
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, YONCA, ARPA, SARIMSAK
","20%
","SÜT
","MISIR, BUĞDAY, YONCA, ARPA
","110 Adet
","60 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

247,Karatay,YARMA,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","BUĞDAY, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","BARAJ
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","80%
","SÜT, YUMURTA
","MISIR, BUĞDAY, ARPA, AYÇİÇEĞİ, ŞEKER PANCARI
","200 Adet
","100 Dekar
","PATATES, KANOLA
","YOK
","HAYVANCILIK
","YOK
"

248,Karatay,ACIDORT,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, HAZIR YEM
","BUĞDAY, ARPA, AYÇİÇEĞİ, YONCA
","KANAL, YERALTI SULARI
","HAYIR
","VAR
","BUĞDAY, YONCA, AYÇİÇEĞİ
","60%
","SÜT
","BUĞDAY, ARPA
","40 Adet
","100 Dekar
","YOK
","YOK
","YOK
","YOK
"

249,Karatay,BÜYÜKBURNAK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","SAMAN, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","EVET
","VAR
","ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","90%
","SÜT, CANLI HAYVAN
","BUĞDAY, AYÇİÇEĞİ
","200 Adet
","400 Dekar
","SİLAJLIK MISIR
","YOK
","YOK
","YOK
"

250,Karatay,HAYIROĞLU MERKEZ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, ARPA, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, AYÇİÇEĞİ
","60%
","SÜT, YOĞURT, PEYNİR
","BUĞDAY, ARPA
","200 Adet
","150 Dekar
","KANOLA
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

251,Karatay,KARADONA,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA
","10%
","SÜT, YAĞ, YOĞURT, PEYNİR, YUMURTA
","BUĞDAY, ARPA
","60 Adet
","200 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA
","YOK
"

252,Karatay,KARAKAYA,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","SAMAN, SİLAJLIK MISIR, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT, CANLI HAYVAN
","BUĞDAY, ARPA
","400 Adet
","200 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

253,Karatay,KIZÖREN,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","KÜSPE, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","KOOPERATİF KUYULARI
","HAYIR
","VAR
","MISIR, BUĞDAY, YULAF, ARPA, AYÇİÇEĞİ
","60%
","KAYMAK, YOĞURT, PEYNİR, YUMURTA
","BUĞDAY
","50 Adet
","150 Dekar
","KANOLA
","YOK
","HAYVANCILIK
","YOK
"

254,Karatay,KÖSEALİ,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","90%
","SÜT, YAĞ, PEYNİR, TANDIR EKMEĞİ
","ŞEKER PANCARI
","60 Adet
","200 Dekar
","SARIMSAK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

255,Karatay,OVAKAVAĞI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","FİĞ, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, AYÇİÇEĞİ
","95%
","SÜT, YAĞ, YOĞURT, PEYNİR
","AYÇİÇEĞİ, ŞEKER PANCARI
","1000 Adet
","600 Dekar
","YOK
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

256,Karatay,SÜRÜÇ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","85%
","SÜT, BAL
","MISIR, BUĞDAY, ŞEKER PANCARI
","100 Adet
","250 Dekar
","ASPİR, ÇÖREKOTU
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ÇÖREKOTU
"

257,Karatay,YENİKENT,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, YONCA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, YONCA, ARPA, AYÇİÇEĞİ
","70%
","SÜT
","BUĞDAY, YONCA
","100 Adet
","300 Dekar
","BEZELYE, ASPİR
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ASPİR
"

258,Kulu,AĞILBAŞI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YULAF, FİĞ, ARPA, SİLAJLIK MISIR
","NOHUT, KANOLA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA, KANOLA
","40%
","SÜT, PEYNİR, YUMURTA
","BUĞDAY, ARPA, NOHUT, PATLICAN
","90 Adet
","100 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

259,Kulu,DİPDEDE,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT, YOĞURT
","BUĞDAY, ARPA
","35 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

260,Kulu,ÖMERANLI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SAMAN, HAZIR YEM
","KİMYON
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, ARPA, KİMYON
","10%
","SÜT, YAĞ, CANLI HAYVAN
","BUĞDAY, ARPA, KİMYON
","250 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","KİMYON
"

261,Kulu,BAHADIRLI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY
","30%
","SÜT, YOĞURT
","BUĞDAY, ŞEKER PANCARI
","20 Adet
","100 Dekar
","MISIR, AYÇİÇEĞİ, ÇÖREKOTU
","YOK
","HAYVANCILIK
","ÇÖREKOTU
"

262,Kulu,DEĞİRMENÖZÜ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YONCA, HAZIR YEM
","MISIR, YONCA
","ŞAHSİ KUYULAR
","EVET
","VAR
","MISIR, BUĞDAY, YONCA, ARPA, KİMYON
","20%
","YUFKA, BULGUR
","BUĞDAY, ARPA
","70 Adet
","80 Dekar
","ÇÖREKOTU
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ÇÖREKOTU, KİMYON
"

263,Meram,GÖKYURT,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","ARPA, SİLAJLIK MISIR
","ELMA, ÜZÜM, PATATES, SOĞAN
","ŞAHSİ KUYULAR, AKARSU
","HAYIR
","VAR
","PATATES, BUĞDAY, ARPA, SOĞAN
","30%
","CANLI HAYVAN, PEKMEZ
","BUĞDAY, ELMA, ÜZÜM, PATATES, SOĞAN
","60 Adet
","20 Dekar
","AHUDUDU, SUSAM, ALTIN ÇİLEK, BÖĞÜRTLEN, ÇÖREKOTU
","YOK
","MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ÇÖREKOTU, GİLABURU
"

264,Meram,BAYAT,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","BUĞDAY, NOHUT
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA
","10%
","SÜT
","BUĞDAY, ARPA
","20 Adet
","60 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","ADA ÇAYI
"

265,Meram,ÇOMAKLAR,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN, YONCA, SİLAJLIK MISIR
","ELMA, KİRAZ, ÜZÜM, FASULYE, PATATES
","DERE, YERALTI SULARI
","HAYIR
","VAR
","PATATES, NOHUT, ELMA, KİRAZ, FASULYE
","25%
","SÜT
","BUĞDAY, PATATES, NOHUT, FASULYE
","18 Adet
","20 Dekar
","KİMYON, BÖĞÜRTLEN, ÇÖREKOTU
","YOK
","MODERN MEYVECİLİK, MANTAR YETİŞTİRİCİLİĞİ
","YOK
"

266,Meram,HATUNSARAY,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","FİĞ, KÜSPE, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, FASULYE, DOMATES, BİBER
","ŞAHSİ KUYULAR, GÖLET
","HAYIR
","VAR
